,prod_0,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,prod_7,prod_8,prod_9,prod_10,prod_11,prod_15,balance
month 1,5439.7,7729.68,9486.72,39415.63,15887.61,28947.6,9245.28,19720.67,935986.19,1046212.98,341283.45,1013631.26,2986750.92,6459737.69
month 2,12811.9,17268.96,21003.41,50026.49,41000.28,31908.84,49213.03,33855.84,1358449.99,1653306.86,1258074.51,1012567.02,4639031.06,10178518.19
month 3,31375.22,44014.37,47260.79,130943.9,85145.55,87515.55,93473.02,73520.3,2574257.11,2343830.9,2847654.89,2821358.04,12094255.32,23274604.96
month 4,25809.15,33402.57,17948.0,64447.41,65282.23,57123.07,69614.26,43245.8,1633913.77,2541298.96,2502122.66,2492311.27,12166968.79,21713487.94
month 5,25164.84,26824.37,27885.53,81612.49,76243.17,39151.17,75503.5,52859.19,2031211.93,3965387.62,3324824.13,4410131.56,14636910.78,28773710.28
month 6,44094.67,35566.91,46244.85,104286.3,83488.02,92009.73,86385.15,56144.24,3112881.55,6251726.11,3929494.42,8374345.09,15441534.31,37658201.35
month 7,24500.02,20584.28,15129.94,42053.18,44905.35,53294.81,48810.4,53006.37,2458374.96,2955347.94,3426806.9,4603633.64,4880560.09,18627007.88
month 8,43050.11,37798.66,51765.06,122996.09,133433.97,67744.08,78200.13,101202.33,8338068.44,5920220.55,8900584.3,11407208.27,9025853.35,44228125.34
month 9,16892.19,9719.14,31323.82,38809.01,43886.16,45776.04,56372.36,76906.36,5594683.59,8163253.93,4881183.72,5821638.4,6760035.28,31540480.0
month 10,72406.55,52960.35,64460.38,107347.94,121938.61,99322.06,165848.21,125972.73,7068716.85,9065832.67,10709497.76,14664432.92,19860789.89,62179526.92
month 11,64050.71,55120.83,102075.37,114929.12,233083.6,139505.86,176210.58,125261.79,18756407.25,18997495.53,14906663.1,29868992.31,20643368.85,104183164.9
month 12,58105.38,57609.79,47139.4,105684.76,154823.47,89347.16,186388.01,53255.01,7317398.48,6683467.35,8291313.3,11458579.46,8808034.46,43311146.03
