month,prod_0,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,prod_7,prod_8,prod_9,prod_10,prod_11,prod_15
1,266.0,321.0,366.0,563.0,361.0,510.0,187.0,383.0,9589.04,9630.09,4831.99,9656.39,32216.06
2,625.0,717.0,761.0,728.0,743.0,625.0,775.0,668.0,14114.19,15685.75,12149.26,11573.92,52238.57
3,1344.0,1644.0,1472.0,1684.0,1474.0,1497.0,1283.0,1337.0,21183.77,18937.72,20750.16,18817.69,130787.23
4,929.0,1153.0,611.0,827.0,941.0,906.0,840.0,733.0,12677.38,14553.93,14707.59,12925.44,116057.3
5,893.0,985.0,857.0,963.0,1093.0,658.0,889.0,747.0,14163.41,19141.99,17154.14,17015.1,134571.88
6,1302.0,1227.0,1241.0,1223.0,1143.0,1301.0,965.0,872.0,17312.65,21782.73,18280.73,25747.49,146145.27
7,660.0,675.0,380.0,467.0,594.0,670.0,525.0,678.0,10397.89,8229.28,12193.51,10979.61,49991.51
8,1100.0,1140.0,1122.0,1217.0,1393.0,800.0,788.0,1079.0,24594.34,12955.86,23786.99,23289.61,94658.23
9,393.0,280.0,533.0,386.0,375.0,462.0,433.0,619.0,12439.88,12940.97,10868.68,10452.64,66918.57
10,1182.0,1026.0,1094.0,926.0,940.0,903.0,1085.0,1082.0,13404.19,14801.01,17368.46,17290.37,180185.64
11,1082.0,897.0,1522.0,946.0,1383.0,1171.0,1203.0,1110.0,25268.25,23176.02,20278.78,25265.42,184667.03
12,779.0,775.0,737.0,727.0,835.0,627.0,947.0,489.0,9587.16,7815.63,9891.92,8223.22,84310.28
